Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
0,0.06683303935,0,0.06683303935
1,0.06684201854,1,0.06684201854
2,0.06686886309,2,0.06686886309
3,0.06691344131,3,0.06691344131
4,0.06697563183,4,0.06697563183
5,0.06705532317,5,0.06705532317
6,0.06715241354,6,0.06715241354
7,0.06726681041,7,0.06726681041
8,0.06739843027,8,0.06739843027
9,0.06754719822,9,0.06754719822
10,0.06771304771,10,0.06771304771
11,0.06789592011,11,0.06789592011
12,0.06809576443,12,0.06809576443
13,0.0683125369,13,0.0683125369
14,0.06854620068,14,0.06854620068
15,0.06879672541,15,0.06879672541
16,0.06906408689,16,0.06906408689
17,0.06934826667,17,0.06934826667
18,0.06964925165,18,0.06964925165
19,0.06996703372,19,0.06996703372
20,0.07030160927,20,0.07030160927
21,0.07065297886,21,0.07065297886
22,0.07102114673,22,0.07102114673
23,0.07140612038,23,0.07140612038
24,0.07180791011,24,0.07180791011
25,0.07222652858,25,0.07222652858
26,0.07266199029,26,0.07266199029
27,0.07311431116,27,0.07311431116
28,0.07358350795,28,0.07358350795
29,0.07406959783,29,0.07406959783
30,0.07457259778,30,0.07457259778
31,0.07509252409,31,0.07509252409
32,0.07562939182,32,0.07562939182
33,0.07618321417,33,0.07618321417
34,0.07675400196,34,0.07675400196
35,0.077341763,35,0.077341763
36,0.07794650149,36,0.07794650149
37,0.07856821735,37,0.07856821735
38,0.07920690565,38,0.07920690565
39,0.07986255587,39,0.07986255587
40,0.08053515129,40,0.08053515129
41,0.08122466826,41,0.08122466826
42,0.08193107552,42,0.08193107552
43,0.08265433348,43,0.08265433348
44,0.08339439348,44,0.08339439348
45,0.08415119706,45,0.08415119706
46,0.08492467518,46,0.08492467518
47,0.08571474752,47,0.08571474752
48,0.08652132162,48,0.08652132162
49,0.08734429217,49,0.08734429217
50,0.08818354018,50,0.08818354018
51,0.0890389322,51,0.0890389322
52,0.08991031952,52,0.08991031952
53,0.09079753737,53,0.09079753737
54,0.09170040412,54,0.09170040412
55,0.09261872049,55,0.09261872049
56,0.09355226874,56,0.09355226874
57,0.09450081188,57,0.09450081188
58,0.09546409292,58,0.09546409292
59,0.09644183408,59,0.09644183408
60,0.09743373606,60,0.09743373606
61,0.09843947729,61,0.09843947729
62,0.09945871322,62,0.09945871322
63,0.1004910756,63,0.1004910756
64,0.1015361721,64,0.1015361721
65,0.102593585,65,0.102593585
66,0.1036628715,66,0.1036628715
67,0.1047435625,67,0.1047435625
68,0.1084639378,68,0.1084639378
69,0.1132875066,69,0.1132875066
70,0.1182807123,70,0.1182807123
71,0.1234431571,71,0.1234431571
72,0.1287737275,72,0.1287737275
73,0.1342705375,73,0.1342705375
74,0.1399308732,74,0.1399308732
75,0.1457511383,75,0.1457511383
76,0.1517268018,76,0.1517268018
77,0.1578523486,77,0.1578523486
78,0.1641212334,78,0.1641212334
79,0.170525839,79,0.170525839
80,0.1770574403,80,0.1770574403
81,0.1837061737,81,0.1837061737
82,0.1904610137,82,0.1904610137
83,0.1973097575,83,0.1973097575
84,0.2042390177,84,0.2042390177
85,0.211234225,85,0.211234225
86,0.2182796408,86,0.2182796408
87,0.2253583804,87,0.2253583804
88,0.232452448,88,0.232452448
89,0.2395427832,89,0.2395427832
90,0.2466093204,90,0.2466093204
91,0.2536310601,91,0.2536310601
92,0.2605861528,92,0.2605861528
93,0.267451996,93,0.267451996
94,0.2742053428,94,0.2742053428
95,0.2808224226,95,0.2808224226
96,0.2872790728,96,0.2872790728
97,0.2935508816,97,0.2935508816
98,0.2996133386,98,0.2996133386
99,0.3054419954,99,0.3054419954
100,0.3110126317,100,0.3110126317
101,0.3163014272,101,0.3163014272
102,0.3212851365,102,0.3212851365
103,0.3259412669,103,0.3259412669
104,0.3302482544,104,0.3302482544
105,0.3341856392,105,0.3341856392
106,0.3377342352,106,0.3377342352
107,0.3408762947,107,0.3408762947
108,0.3435956638,108,0.3411401467
109,0.3458779276,109,0.339180041
110,0.3557155192,110,0.335191615
111,0.4088299835,111,0.3293799188
112,0.4651626067,112,0.3219555737
113,0.5239009242,113,0.3202658165
114,0.5840352875,114,0.3239929733
115,0.6443782947,115,0.3258941602
116,0.7035971572,116,0.3258773142
117,0.7602584103,117,0.3238909326
118,0.812883277,118,0.3199375174
119,0.8600109319,119,0.3140827139
120,0.900265991,120,0.3064589964
121,0.9324258914,121,0.2972633985
122,0.9554835188,122,0.2939954316
123,0.9687005434,123,0.2916226033
124,0.9716474571,124,0.2879234378
125,0.9642272259,125,0.2831328907
126,0.9466807071,126,0.2775317435
127,0.919573399,127,0.2714322204
