round,step,MaxD_in,MaxD_out
1,0,0.06683303935,0.06683303935
1,1,0.06684201854,0.06684201854
1,2,0.06686886309,0.06686886309
1,3,0.06691344131,0.06691344131
1,4,0.06697563183,0.06697563183
1,5,0.06705532317,0.06705532317
1,6,0.06715241354,0.06715241354
1,7,0.06726681041,0.06726681041
1,8,0.06739843027,0.06739843027
1,9,0.06754719822,0.06754719822
1,10,0.06771304771,0.06771304771
1,11,0.06789592011,0.06789592011
1,12,0.06809576443,0.06809576443
1,13,0.0683125369,0.0683125369
1,14,0.06854620068,0.06854620068
1,15,0.06879672541,0.06879672541
1,16,0.06906408689,0.06906408689
1,17,0.06934826667,0.06934826667
1,18,0.06964925165,0.06964925165
1,19,0.06996703372,0.06996703372
1,20,0.07030160927,0.07030160927
1,21,0.07065297886,0.07065297886
1,22,0.07102114673,0.07102114673
1,23,0.07140612038,0.07140612038
1,24,0.07180791011,0.07180791011
1,25,0.07222652858,0.07222652858
1,26,0.07266199029,0.07266199029
1,27,0.07311431116,0.07311431116
1,28,0.07358350795,0.07358350795
1,29,0.07406959783,0.07406959783
1,30,0.07457259778,0.07457259778
1,31,0.07509252409,0.07509252409
1,32,0.07562939182,0.07562939182
1,33,0.07618321417,0.07618321417
1,34,0.07675400196,0.07675400196
1,35,0.077341763,0.077341763
1,36,0.07794650149,0.07794650149
1,37,0.07856821735,0.07856821735
1,38,0.07920690565,0.07920690565
1,39,0.07986255587,0.07986255587
1,40,0.08053515129,0.08053515129
1,41,0.08122466826,0.08122466826
1,42,0.08193107552,0.08193107552
1,43,0.08265433348,0.08265433348
1,44,0.08339439348,0.08339439348
1,45,0.08415119706,0.08415119706
1,46,0.08492467518,0.08492467518
1,47,0.08571474752,0.08571474752
1,48,0.08652132162,0.08652132162
1,49,0.08734429217,0.08734429217
1,50,0.08818354018,0.08818354018
1,51,0.0890389322,0.0890389322
1,52,0.08991031952,0.08991031952
1,53,0.09079753737,0.09079753737
1,54,0.09170040412,0.09170040412
1,55,0.09261872049,0.09261872049
1,56,0.09355226874,0.09355226874
1,57,0.09450081188,0.09450081188
1,58,0.09546409292,0.09546409292
1,59,0.09644183408,0.09644183408
1,60,0.09743373606,0.09743373606
1,61,0.09843947729,0.09843947729
1,62,0.09945871322,0.09945871322
1,63,0.1004910756,0.1004910756
1,64,0.1015361721,0.1015361721
1,65,0.102593585,0.102593585
1,66,0.1036628715,0.1036628715
1,67,0.1047435625,0.1047435625
1,68,0.1084639378,0.1084639378
1,69,0.1132875066,0.1132875066
1,70,0.1182807123,0.1182807123
1,71,0.1234431571,0.1234431571
1,72,0.1287737275,0.1287737275
1,73,0.1342705375,0.1342705375
1,74,0.1399308732,0.1399308732
1,75,0.1457511383,0.1457511383
1,76,0.1517268018,0.1517268018
1,77,0.1578523486,0.1578523486
1,78,0.1641212334,0.1641212334
1,79,0.170525839,0.170525839
1,80,0.1770574403,0.1770574403
1,81,0.1837061737,0.1837061737
1,82,0.1904610137,0.1904610137
1,83,0.1973097575,0.1973097575
1,84,0.2042390177,0.2042390177
1,85,0.211234225,0.211234225
1,86,0.2182796408,0.2182796408
1,87,0.2253583804,0.2253583804
1,88,0.232452448,0.232452448
1,89,0.2395427832,0.2395427832
1,90,0.2466093204,0.2466093204
1,91,0.2536310601,0.2536310601
1,92,0.2605861528,0.2605861528
1,93,0.267451996,0.267451996
1,94,0.2742053428,0.2742053428
1,95,0.2808224226,0.2808224226
1,96,0.2872790728,0.2872790728
1,97,0.2935508816,0.2935508816
1,98,0.2996133386,0.2996133386
1,99,0.3054419954,0.3054419954
1,100,0.3110126317,0.3110126317
1,101,0.3163014272,0.3163014272
1,102,0.3212851365,0.3212851365
1,103,0.3259412669,0.3259412669
