round,iter,L,f,f_a,f_b,penalty,maxD,G_norm,d_norm,alpha,r_stat,r_prim,r_comp,r_dual,lam_neg,kkt,lam_max,lam_min,S_max,S_min
1,1,-3943.895318,234.3799957,234.0884849,234.6715065,-4178.275313,0.9679720069,1395.3089,1395.3089,0.01668863547,50.71800864,7.11910266,0.9185353257,0,0,51.22344903,29.98915239,29.97293692,-0.00131812809,-0.00131812809
1,2,-4372.995273,436.9961613,584.8052194,289.1871031,-4809.991435,0.9908325152,49.95642764,49.95642764,0.3136217092,49.41242972,7.50585094,16.40283856,0,0,52.60208287,30.09891944,29.77912693,0.02347651831,0.02346311157
1,3,-4391.438615,433.9696703,580.5032595,287.4360811,-4825.408285,0.9905220091,39.27493175,39.27493175,0.02390758136,20.24771626,7.519954396,7.182002189,0,0,22.76182953,30.10727392,29.76730613,-0.009945867519,-0.01031052837
1,4,-4410.786621,429.3133844,574.8888131,283.7379556,-4840.100006,0.9791743881,26.15226164,26.15226164,0.05651141888,20.51990383,7.518088091,17.24172096,0,0,27.83639782,30.12704691,29.74049874,0.02477423588,0.02351586406
1,5,-4431.406088,428.8846126,575.3443159,282.4249092,-4860.290701,0.9715657737,41.36172857,41.36172857,0.02409625804,21.56764186,7.531840134,7.765835801,0,0,24.12882087,30.13546581,29.73033198,-0.01018870581,-0.01119543241
1,6,-4453.958626,430.1908869,580.7956291,279.5861448,-4884.149513,0.9910137982,28.14309624,28.14309624,0.05678274277,22.22774004,7.522676957,18.79267093,0,0,30.06372527,30.15533265,29.698013,0.02711924234,0.02421182496
1,7,-4478.529574,432.1356625,585.7332473,278.5380777,-4910.665237,0.9915854512,45.12767719,45.12767719,0.02411624548,23.81719246,7.535349132,8.510379414,0,0,26.39065556,30.1637556,29.68404694,-0.0104809693,-0.01232479555
1,8,-4504.973241,438.9120179,601.4736591,276.3503767,-4943.885259,0.9712025549,30.75989082,30.75989082,0.05561435334,24.48842921,7.517215937,20.01999378,0,0,32.5114111,30.18321218,29.65324318,0.02902582433,0.02414289332
1,9,-4532.73984,443.0116447,610.4838482,275.5394411,-4975.751485,0.9522810176,48.09687548,48.09687548,0.02398670195,25.56560759,7.529485376,8.934934638,0,0,28.10918886,30.19158731,29.64167338,-0.01022574432,-0.01300332051
1,10,-4560.74941,454.0578133,634.1463263,273.9693003,-5014.807223,0.8901326397,32.25450872,32.25450872,0.05352553737,25.77456023,7.510175913,19.91838131,0,0,33.42861964,30.2103122,29.61789244,0.02902395583,0.0222223114
